Country,Sex,mean_BMI,pop,pop_filter,gender,PGS_mean_raw,PGS_sd_raw,n,PGS_global_z,SuperPop
Bangladesh,Girls,0.01061893204881544,BEB,BEB,female,0.00210376159090909,9.6790143292126e-4,44,-0.892977031781128,SAS
Barbados,Girls,0.17272655264534154,ACB,ACB,female,0.0025844682244898,9.1734337749209e-4,49,0.427976620012944,AFR
China,Girls,0.04003490647543163,CHN,CHN,female,0.0026542921509434,9.7503980851479e-4,159,0.619848677081195,EAS
Colombia,Girls,0.05323884490670144,CLM,CLM,female,0.00244799552941176,9.1012050648189e-4,51,0.0529576534747207,AMR
Finland,Girls,0.06534352456368778,FIN,FIN,female,0.00227416439180328,0.0011823060642532,61,-0.424720123320295,EUR
Gambia,Girls,0.02624961519564208,GWD,GWD,female,0.00256288144827586,9.5105116293303e-4,58,0.368657424315866,AFR
India,Girls,0.01578897402883151,IND,IND,female,0.00197467095555556,9.3255900849247e-4,90,-1.2477105309061,SAS
Italy,Girls,0.09064056848523996,TSI,TSI,female,0.00179400771481481,0.0010719087658053,54,-1.74416252663536,EUR
Japan,Girls,0.02241178163428656,JPT,JPT,female,0.0026469106875,9.9144246859092e-4,48,0.599564848213455,EAS
Kenya,Girls,0.0219147660938106,LWK,LWK,female,0.00230367545454545,9.7323303001054e-4,55,-0.343625452736648,AFR
Mexico,Girls,0.12611113032761,MXL,MXL,female,0.00306751590625,0.0011033001644842,32,1.75536333498049,AMR
Nigeria,Girls,0.0228278639906809,YEN,YEN,female,0.00260768992156863,7.2770094355669e-4,102,0.491788482413607,AFR
Pakistan,Girls,0.02568394489392365,PJL,PJL,female,0.00233333491666667,9.5642869407338e-4,48,-0.262122989358045,SAS
Peru,Girls,0.069500703426009,PEL,PEL,female,0.00332794334090909,0.00101444169072609,44,2.47100266010858,AMR
Puerto Rico,Girls,0.17324944406641302,PUR,PUR,female,0.00226857598,0.00109725308883167,50,-0.440076751383199,AMR
Sierra Leone,Girls,0.03296387716908174,MSL,MSL,female,0.00284760723255814,9.2296911040974e-4,43,1.15106718992702,AFR
Spain,Girls,0.08818947501726525,IBS,IBS,female,0.00199211315283019,0.00123014254481857,53,-1.19978039519398,EUR
Sri Lanka,Girls,0.04364406330898868,STU,STU,female,0.00200545005531915,0.00100095941482005,47,-1.16313136891535,SAS
United Kingdom,Girls,0.10127248102097142,GBR,GBR,female,0.0021023447,0.00118077974496001,45,-0.896870564946284,EUR
United States of America,Girls,0.1926323462343309,CEU,CEU,female,0.00216637698,0.00105444192038391,50,-0.720913612847142,EUR
Viet Nam,Girls,0.01555437903552328,KHV,KHV,female,0.00277916432075472,8.0284130605249e-4,53,0.962990080167367,EAS
